community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
221,3,3,0,0,7a86ca0e5f,2
223,3,3,0,0,8d4fbacebc,2
237,3,3,0,0,ded61c7695,1
251,3,3,0,0,8e648aed96,2
260,3,3,0,0,7430a3e5aa,2
266,3,3,0,0,1f006977be,1
295,3,3,0,0,e1cd976107,1
296,3,3,0,0,77173ace11,2
299,3,3,0,0,11a4c66077,1
300,3,3,0,0,e652405640,1
307,3,3,0,0,de1d5c92b7,1
309,3,3,0,0,a431a01b00,1
318,3,3,0,0,0da089e39f,1
327,3,3,0,0,055323a7ce,1
332,3,3,0,0,fd03ae67ba,2
335,3,3,0,0,0025cbc2e3,2
337,3,3,0,0,66622c3eb7,2
339,3,3,0,0,2c46fba1eb,1
352,3,3,0,0,0bad6141b9,2
361,3,3,0,0,553938c7d1,1
364,3,3,0,0,a29e4584b3,1
365,3,3,0,0,5518837a7d,2
368,3,3,0,0,4c18ce8948,1
369,3,3,0,0,6a67648c1f,2
378,3,3,0,0,d4284f6dc5,1
379,3,3,0,0,3e837d4bfb,1
397,3,3,0,0,6eed0113c5,1
407,3,3,0,0,528625ff32,1
417,3,2,1,0,6757f5a01d,2
425,3,3,0,0,a45ff6dcec,1
433,3,3,0,0,54416862f9,1
434,3,3,0,0,5410101d1c,1
437,3,3,0,0,b39ab2c0e4,2
439,3,3,0,0,3f5d4f4373,2
450,3,3,0,0,84e5ca0c18,1
456,3,3,0,0,68b00c23ad,2
458,3,3,0,0,315eb6d356,1
477,3,3,0,0,9938f90108,1
478,3,3,0,0,fb322c454b,1
479,3,3,0,0,633076cc90,2
487,3,3,0,0,9f4c57b76f,1
492,3,3,0,0,36251e7506,2
501,3,3,0,0,aa2fe23e11,1
502,3,3,0,0,76b1d37f6f,1
506,3,3,0,0,06bea67bec,1
514,3,3,0,0,78f348725a,2
521,3,3,0,0,d5a5c70635,2
532,3,3,0,0,acdae03855,1
533,3,3,0,0,307860a511,1
535,3,3,0,0,0a6f94abf7,1
547,3,3,0,0,eac5008fe1,1
548,3,3,0,0,6be83a3683,2
550,3,3,0,0,be68f91048,1
551,3,3,0,0,970f76e95c,2
558,3,3,0,0,31471dcab1,2
561,3,3,0,0,7bc1ac4674,2
564,3,3,0,0,16369e3764,1
571,3,3,0,0,95cde47a15,1
574,3,3,0,0,b65a38ead2,2
582,3,3,0,0,a45e37b80e,2
589,3,3,0,0,f58702857b,2
591,3,3,0,0,59dcbc3b24,2
599,3,3,0,0,0809faad46,2
602,3,3,0,0,bf0ba3dab1,1
610,3,3,0,0,9672e34d50,2
619,3,3,0,0,03cf3f7fa2,2
620,3,3,0,0,b97ad2764b,2
628,3,3,0,0,5cec9cb260,1
630,3,3,0,0,cadcf465b9,1
635,3,3,0,0,cea8e80add,1
639,3,3,0,0,fb0e22f542,2
640,3,3,0,0,00165dcde0,2
